2025-04-03 14:12:05,764 - INFO - System Monitor: Starting system monitoring...
2025-04-03 14:12:05,768 - INFO - CPU: Usage: 11.1%
2025-04-03 14:12:05,768 - INFO - Memory: Usage: 86.8%
2025-04-03 14:12:06,073 - INFO - Software: PID: 3692, Name: WUDFHost.exe, Username: None
2025-04-03 14:12:06,075 - INFO - Software: PID: 3704, Name: AsusOSD.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,079 - INFO - Software: PID: 3764, Name: svchost.exe, Username: None
2025-04-03 14:12:06,082 - INFO - Software: PID: 3884, Name: svchost.exe, Username: None
2025-04-03 14:12:06,089 - INFO - Software: PID: 3944, Name: svchost.exe, Username: None
2025-04-03 14:12:06,093 - INFO - Software: PID: 3972, Name: svchost.exe, Username: None
2025-04-03 14:12:06,097 - INFO - Software: PID: 4060, Name: WUDFHost.exe, Username: None
2025-04-03 14:12:06,101 - INFO - Software: PID: 4116, Name: svchost.exe, Username: None
2025-04-03 14:12:06,108 - INFO - Software: PID: 4144, Name: svchost.exe, Username: None
2025-04-03 14:12:06,115 - INFO - Software: PID: 4156, Name: spoolsv.exe, Username: None
2025-04-03 14:12:06,121 - INFO - Software: PID: 4256, Name: GlideXServiceExt.exe, Username: None
2025-04-03 14:12:06,125 - INFO - Software: PID: 4268, Name: svchost.exe, Username: None
2025-04-03 14:12:06,130 - INFO - Software: PID: 4296, Name: GlideXRemoteService.exe, Username: None
2025-04-03 14:12:06,131 - INFO - Software: PID: 4368, Name: svchost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,135 - INFO - Software: PID: 4380, Name: GlideXService.exe, Username: None
2025-04-03 14:12:06,144 - INFO - Software: PID: 4440, Name: wlanext.exe, Username: None
2025-04-03 14:12:06,148 - INFO - Software: PID: 4508, Name: svchost.exe, Username: None
2025-04-03 14:12:06,155 - INFO - Software: PID: 4528, Name: RtkAudUService64.exe, Username: None
2025-04-03 14:12:06,160 - INFO - Software: PID: 4620, Name: OneApp.IGCC.WinService.exe, Username: None
2025-04-03 14:12:06,161 - INFO - Software: PID: 4764, Name: TextInputHost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,165 - INFO - Software: PID: 4796, Name: svchost.exe, Username: None
2025-04-03 14:12:06,170 - INFO - Software: PID: 4928, Name: AsusSoftwareManager.exe, Username: None
2025-04-03 14:12:06,175 - INFO - Software: PID: 4936, Name: AsusAppService.exe, Username: None
2025-04-03 14:12:06,179 - INFO - Software: PID: 4944, Name: AsusSwitch.exe, Username: None
2025-04-03 14:12:06,182 - INFO - Software: PID: 4952, Name: AsusSystemAnalysis.exe, Username: None
2025-04-03 14:12:06,189 - INFO - Software: PID: 4960, Name: AsusPTPService.exe, Username: None
2025-04-03 14:12:06,193 - INFO - Software: PID: 4968, Name: AsusScreenXpertHostService.exe, Username: None
2025-04-03 14:12:06,196 - INFO - Software: PID: 4976, Name: AsusSystemDiagnosis.exe, Username: None
2025-04-03 14:12:06,200 - INFO - Software: PID: 4984, Name: svchost.exe, Username: None
2025-04-03 14:12:06,206 - INFO - Software: PID: 4992, Name: DtsApo4Service.exe, Username: None
2025-04-03 14:12:06,210 - INFO - Software: PID: 5012, Name: svchost.exe, Username: None
2025-04-03 14:12:06,213 - INFO - Software: PID: 5024, Name: OfficeClickToRun.exe, Username: None
2025-04-03 14:12:06,218 - INFO - Software: PID: 5036, Name: svchost.exe, Username: None
2025-04-03 14:12:06,225 - INFO - Software: PID: 5044, Name: ELANFPService.exe, Username: None
2025-04-03 14:12:06,245 - INFO - Software: PID: 5100, Name: ipfsvc.exe, Username: None
2025-04-03 14:12:06,247 - INFO - Software: PID: 5116, Name: msedge.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,261 - INFO - Software: PID: 5168, Name: svchost.exe, Username: None
2025-04-03 14:12:06,274 - INFO - Software: PID: 5196, Name: IntelAudioService.exe, Username: None
